Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A69B,10,7,-67.54,-61.16,belle,1/15/2021
A70,8,5,-72.43,-59.7,belle,1/15/2021
A71,8,3,-72.59,-59.66,belle,1/15/2021
B09B,24,8,-66.25,143.39,wilke,1/15/2021
B09G,11,7,-67.96,41.68,amerw (grounded),1/15/2021
B09I,12,6,-70.77,-40.1,belle,1/15/2021
B15AB,11,4,-66.03,51.06,amerw (grounded),1/15/2021
B22A,38,24,-73.92,-109.37,amune (grounded),1/15/2021
B28,9,6,-74.67,-108.77,amune (grounded),1/15/2021
B29,11,5,-74.51,-108.91,amune (grounded),1/15/2021
B37,8,3,-72.68,-111.63,amune,1/15/2021
B38,6,4,-77,-155.03,rosse (grounded),1/15/2021
B39,8,4,-65.24,52.99,amerw,1/15/2021
B40,6,5,-65.57,132.2,wilke (grounded),1/15/2021
B42,12,4,-72.79,-126.56,amunw (grounded),1/15/2021
B45,7,6,-74.69,-109.34,amune (grounded),1/15/2021
B46,10,4,-72.63,-109.93,amune,1/15/2021
B47,12,5,-73.8,-133.84,amunw (grounded),1/15/2021
B50,15,6,-73.72,-138.03,amunw,1/15/2021
C15,12,8,-65.98,143.3,wilke,1/15/2021
C18B,19,4,-64.54,98.62,wilkw,1/15/2021
C21B,11,8,-64.99,95.86,wilkw (grounded),1/15/2021
C24,11,2,-64.84,96.02,wilkw (grounded),1/15/2021
C29,5,5,-66.14,143.14,wilke,1/15/2021
C30,9,3,-64.78,96.3,wilkw (grounded),1/15/2021
C31,9,3,-64.69,96.51,wilkw (grounded),1/15/2021
C33,8,4,-65.12,128.08,wilke,1/15/2021
C35,7,5,-68.13,147.71,wilke,1/15/2021
C36,22,15,-67.95,147.64,wilke,1/15/2021
D15A,51,24,-66.65,81.92,amere (grounded),1/15/2021
D15B,33,12,-66.99,81.57,amere (grounded),1/15/2021
D20A,19,9,-68.65,36.26,amerw (grounded),1/15/2021
D21B,10,4,-61.4,-33.46,belle,1/15/2021
D23,8,6,-69.43,74.66,amere (grounded),1/15/2021
D26,19,2,-69.36,29.4,wedde (grounded),1/15/2021
D27,8,5,-67.74,78.46,amere,1/15/2021
D28,29,19,-65.36,53.77,amerw,1/15/2021
A23A,40,34,-75.74,-40.03,belle,1/22/2021
A63,11,3,-71.59,-54.74,belle,1/22/2021
A64,13,9,-69.47,-60.76,belle,1/22/2021
A68A,37,23,-56.65,-34.79,belle,1/22/2021
A68D,11,5,-55.51,-35.96,belle,1/22/2021
A68E,33,8,-53.31,-35.28,belle,1/22/2021
A69A,10,9,-68.02,-61.1,belle,1/22/2021
A69B,10,7,-67.52,-61.12,belle,1/22/2021
A70,8,5,-72.44,-59.66,belle,1/22/2021
A71,8,3,-72.59,-59.56,belle,1/22/2021
B09B,24,8,-66.25,143.33,wilke,1/22/2021
B09G,11,7,-67.96,41.68,amerw (grounded),1/22/2021
B09I,12,6,-70.72,-40.74,belle,1/22/2021
B15AB,11,4,-66.03,51.06,amerw (grounded),1/22/2021
B22A,38,24,-73.92,-109.37,amune (grounded),1/22/2021
B28,9,6,-74.67,-108.77,amune (grounded),1/22/2021
B29,11,5,-74.51,-108.91,amune (grounded),1/22/2021
B37,8,3,-72.67,-111.62,amune,1/22/2021
B38,6,4,-77,-155.03,rosse (grounded),1/22/2021
B39,8,4,-65.62,52.4,amerw,1/22/2021
B40,6,5,-65.59,132.21,wilke (grounded),1/22/2021
B42,12,4,-72.79,-126.6,amunw (grounded),1/22/2021
B45,7,6,-74.69,-109.34,amune (grounded),1/22/2021
B46,10,4,-72.56,-110.32,amune,1/22/2021
B47,12,5,-73.8,-133.84,amunw (grounded),1/22/2021
B50,15,6,-73.67,-138.19,amunw,1/22/2021
C15,12,8,-65.98,143.3,wilke,1/22/2021
C18B,19,4,-64.56,98.49,wilkw,1/22/2021
C21B,11,8,-64.99,95.86,wilkw (grounded),1/22/2021
C24,11,2,-64.84,96.02,wilkw (grounded),1/22/2021
C29,5,5,-66.14,143.06,wilke,1/22/2021
C30,9,3,-64.78,96.3,wilkw (grounded),1/22/2021
C31,9,3,-64.69,96.51,wilkw (grounded),1/22/2021
C33,8,4,-65.16,128.19,wilke,1/22/2021
C35,7,5,-68.05,147.86,wilke,1/22/2021
C36,22,15,-67.91,147.54,wilke,1/22/2021
D15A,51,24,-66.65,81.92,amere (grounded),1/22/2021
D15B,33,12,-66.99,81.57,amere (grounded),1/22/2021
D20A,19,9,-68.65,36.26,amerw (grounded),1/22/2021
D21B,10,4,-61.13,-33.52,belle,1/22/2021
D23,8,6,-69.43,74.66,amere (grounded),1/22/2021
D26,19,2,-69.36,29.4,wedde (grounded),1/22/2021
D27,8,5,-67.71,78.39,amere,1/22/2021
D28,29,19,-65.34,53.4,amerw,1/22/2021
A23A,40,34,-75.73,-39.67,belle,1/29/2021
A63,11,3,-71.62,-54.72,belle,1/29/2021
A64,13,9,-69.36,-60.69,belle,1/29/2021
A68A,36,13,-56.39,-35.9,belle,1/29/2021
A68D,7,2,-55.24,-34.93,belle,1/29/2021
A68E,33,8,-52.9,-35.79,belle,1/29/2021
A68G,29,10,-56.58,-35.71,belle,1/29/2021
A68H,11,5,-56.21,-35.54,belle,1/29/2021
A68I,19,3,-56.28,-35.5,belle,1/29/2021
A69A,10,9,-67.95,-61.08,belle,1/29/2021
A69B,10,7,-67.5,-61.09,belle,1/29/2021
A70,8,5,-72.45,-59.49,belle,1/29/2021
A71,8,3,-72.59,-59.48,belle,1/29/2021
A72,11,4,-69.56,-60.8,belle,1/29/2021
A73,9,5,-69.69,-60.51,belle,1/29/2021
B09B,24,8,-66.27,143.37,wilke,1/29/2021
B09G,11,7,-67.97,41.7,amerw (grounded),1/29/2021
B09I,12,6,-70.66,-41.36,belle,1/29/2021
B15AB,11,4,-66.03,51.06,amerw (grounded),1/29/2021
B22A,38,24,-73.92,-109.37,amune (grounded),1/29/2021
B28,9,6,-74.67,-108.77,amune (grounded),1/29/2021
B29,11,5,-74.51,-108.91,amune (grounded),1/29/2021
B37,8,3,-72.67,-111.61,amune,1/29/2021
B38,6,4,-77,-155.03,rosse (grounded),1/29/2021
B39,8,4,-65.68,50.85,amerw,1/29/2021
B40,6,5,-65.59,132.23,wilke (grounded),1/29/2021
B42,12,4,-72.8,-126.51,amunw (grounded),1/29/2021
B45,7,6,-74.69,-109.34,amune (grounded),1/29/2021
B46,10,4,-72.64,-110.41,amune,1/29/2021
B47,12,5,-73.8,-133.84,amunw (grounded),1/29/2021
B50,15,6,-73.8,-139.64,amunw,1/29/2021
C15,12,8,-65.98,143.3,wilke,1/29/2021
C18B,19,4,-64.47,98.34,wilkw,1/29/2021
C21B,11,8,-64.99,95.86,wilkw (grounded),1/29/2021
C24,11,2,-64.84,96.02,wilkw (grounded),1/29/2021
C29,5,5,-66.15,143.11,wilke,1/29/2021
C30,9,3,-64.78,96.3,wilkw (grounded),1/29/2021
C31,9,3,-64.69,96.51,wilkw (grounded),1/29/2021
C33,8,4,-65.18,127.56,wilke,1/29/2021
C35,7,5,-68.1,147.72,wilke,1/29/2021
C36,22,15,-67.92,147.54,wilke,1/29/2021
D15A,51,24,-66.65,81.92,amere (grounded),1/29/2021
D15B,33,12,-66.99,81.57,amere (grounded),1/29/2021
D20A,19,9,-68.65,36.26,amerw (grounded),1/29/2021
D21B,10,4,-60.8,-33.42,belle,1/29/2021
D23,8,6,-69.43,74.66,amere (grounded),1/29/2021
D26,19,2,-69.36,29.4,wedde (grounded),1/29/2021
D27,8,5,-67.7,78.32,amere,1/29/2021
D28,29,19,-65.52,52.19,amerw,1/29/2021
A23A,40,34,-75.72,-39.71,belle,2/5/2021
A63,11,3,-71.67,-54.9,belle,2/5/2021
A64,13,9,-69.33,-60.69,belle,2/5/2021
A68A,36,10,-57.27,-34.47,belle,2/5/2021
A68E,26,7,-52.26,-37.64,belle,2/5/2021
A68G,29,4,-56.76,-35.32,belle,2/5/2021
A68H,11,5,-56.03,-35.74,belle,2/5/2021
A68I,19,3,-55.83,-35.27,belle,2/5/2021
A68J,20,5,-57.47,-34.47,belle,2/5/2021
A68K,10,2,-56.99,-35.18,belle,2/5/2021
A68L,13,2,-57.08,-34.34,belle,2/5/2021
A68M,26,6,-56.77,-35.13,belle,2/5/2021
A69A,10,9,-67.92,-61.1,belle,2/5/2021
A69B,10,7,-67.51,-61.12,belle,2/5/2021
A70,8,5,-72.48,-59.64,belle,2/5/2021
A71,8,3,-72.62,-59.58,belle,2/5/2021
A72,11,4,-69.52,-60.79,belle,2/5/2021
A73,9,5,-69.64,-60.36,belle,2/5/2021
B09B,24,8,-66.27,143.45,wilke,2/5/2021
B09G,11,7,-68.01,41.75,amerw (grounded),2/5/2021
B09I,12,6,-70.6,-41.91,belle,2/5/2021
B15AB,11,4,-66.03,51.06,amerw (grounded),2/5/2021
